customer_email,frequency
kay.caldwell@sakilacustomer.org,1
kimberly.lee@sakilacustomer.org,1
katherine.rivera@sakilacustomer.org,1
darlene.rose@sakilacustomer.org,1
tom.milner@sakilacustomer.org,1
ricky.shelby@sakilacustomer.org,1
judith.cox@sakilacustomer.org,1
karl.seal@sakilacustomer.org,1
carrie.porter@sakilacustomer.org,1
brandon.huey@sakilacustomer.org,1
ralph.madrigal@sakilacustomer.org,1
sergio.stanfield@sakilacustomer.org,1
freddie.duggan@sakilacustomer.org,1
george.linton@sakilacustomer.org,1
dianne.shelton@sakilacustomer.org,1
tracy.cole@sakilacustomer.org,1
maria.miller@sakilacustomer.org,1
ann.evans@sakilacustomer.org,1
brandy.graves@sakilacustomer.org,1
esther.crawford@sakilacustomer.org,1
edgar.rhoads@sakilacustomer.org,1
ronald.weiner@sakilacustomer.org,1
johnny.turpin@sakilacustomer.org,1
rafael.abney@sakilacustomer.org,1
mary.smith@sakilacustomer.org,1
arthur.simpkins@sakilacustomer.org,1
shawn.heaton@sakilacustomer.org,1
christopher.greco@sakilacustomer.org,1
jeffrey.spear@sakilacustomer.org,1
jason.morrissey@sakilacustomer.org,1
travis.estep@sakilacustomer.org,1
carl.artis@sakilacustomer.org,1
april.burns@sakilacustomer.org,1
carole.barnett@sakilacustomer.org,1
lillian.griffin@sakilacustomer.org,1
jaime.nettles@sakilacustomer.org,1
jay.robb@sakilacustomer.org,1
leah.curtis@sakilacustomer.org,1
ruth.martinez@sakilacustomer.org,1
tanya.gilbert@sakilacustomer.org,1
toni.holt@sakilacustomer.org,1
chad.carbone@sakilacustomer.org,1
anne.powell@sakilacustomer.org,1
donald.mahon@sakilacustomer.org,1
edwin.burk@sakilacustomer.org,1
patrick.newsom@sakilacustomer.org,1
deborah.walker@sakilacustomer.org,1
allison.stanley@sakilacustomer.org,1
bernice.willis@sakilacustomer.org,1
rodney.moeller@sakilacustomer.org,1
lance.pemberton@sakilacustomer.org,1
velma.lucas@sakilacustomer.org,1
melanie.armstrong@sakilacustomer.org,1
seth.hannon@sakilacustomer.org,1
antonio.meek@sakilacustomer.org,1
sheila.wells@sakilacustomer.org,1
neil.renner@sakilacustomer.org,1
danielle.daniels@sakilacustomer.org,1
eugene.culpepper@sakilacustomer.org,1
stella.moreno@sakilacustomer.org,1
alexander.fennell@sakilacustomer.org,1
julie.sanchez@sakilacustomer.org,1
micheal.forman@sakilacustomer.org,1
rachel.barnes@sakilacustomer.org,1
curtis.irby@sakilacustomer.org,1
erika.pena@sakilacustomer.org,1
viola.hanson@sakilacustomer.org,1
erik.guillen@sakilacustomer.org,1
phillip.holm@sakilacustomer.org,1
priscilla.lowe@sakilacustomer.org,1
dave.gardiner@sakilacustomer.org,1
dwight.lombardi@sakilacustomer.org,1
laurie.lawrence@sakilacustomer.org,1
maureen.little@sakilacustomer.org,1
elsie.kelley@sakilacustomer.org,1
marilyn.ross@sakilacustomer.org,1
greg.robins@sakilacustomer.org,1
nancy.thomas@sakilacustomer.org,1
samantha.duncan@sakilacustomer.org,1
daryl.larue@sakilacustomer.org,1
thelma.murray@sakilacustomer.org,1
salvador.teel@sakilacustomer.org,1
tracey.barrett@sakilacustomer.org,1
willie.howell@sakilacustomer.org,1
ivan.cromwell@sakilacustomer.org,1
andre.rapp@sakilacustomer.org,1
theodore.culp@sakilacustomer.org,1
ricardo.meador@sakilacustomer.org,1
lena.jensen@sakilacustomer.org,1
kirk.stclair@sakilacustomer.org,1
mark.rinehart@sakilacustomer.org,1
terri.vasquez@sakilacustomer.org,1
margaret.moore@sakilacustomer.org,1
raymond.mcwhorter@sakilacustomer.org,1
suzanne.nichols@sakilacustomer.org,1
debra.nelson@sakilacustomer.org,1
beth.franklin@sakilacustomer.org,1
alvin.deloach@sakilacustomer.org,1
joy.george@sakilacustomer.org,1
sherry.marshall@sakilacustomer.org,1
tina.simmons@sakilacustomer.org,1
brian.wyman@sakilacustomer.org,1
clarence.gamez@sakilacustomer.org,1
phyllis.foster@sakilacustomer.org,1
miriam.mckinney@sakilacustomer.org,1
andrew.purdy@sakilacustomer.org,1
constance.reid@sakilacustomer.org,1
ida.andrews@sakilacustomer.org,1
lillie.kim@sakilacustomer.org,1
ross.grey@sakilacustomer.org,1
jordan.archuleta@sakilacustomer.org,1
becky.miles@sakilacustomer.org,1
derrick.bourque@sakilacustomer.org,1
jacqueline.long@sakilacustomer.org,1
bruce.schwarz@sakilacustomer.org,1
ernest.stepp@sakilacustomer.org,1
felicia.sutton@sakilacustomer.org,1
gene.sanborn@sakilacustomer.org,1
darrell.power@sakilacustomer.org,1
jennifer.davis@sakilacustomer.org,1
jill.hawkins@sakilacustomer.org,1
tonya.chapman@sakilacustomer.org,1
tommy.collazo@sakilacustomer.org,1
paul.trout@sakilacustomer.org,1
kelly.torres@sakilacustomer.org,1
mildred.bailey@sakilacustomer.org,1
randall.neumann@sakilacustomer.org,1
regina.berry@sakilacustomer.org,1
floyd.gandy@sakilacustomer.org,1
janice.ward@sakilacustomer.org,1
jacob.lance@sakilacustomer.org,1
wallace.slone@sakilacustomer.org,1
ronnie.ricketts@sakilacustomer.org,1
warren.sherrod@sakilacustomer.org,1
eddie.tomlin@sakilacustomer.org,1
dan.paine@sakilacustomer.org,1
sharon.robinson@sakilacustomer.org,1
lois.butler@sakilacustomer.org,1
joseph.joy@sakilacustomer.org,1
jean.bell@sakilacustomer.org,1
byron.box@sakilacustomer.org,1
jessie.banks@sakilacustomer.org,1
tiffany.jordan@sakilacustomer.org,1
luis.yanez@sakilacustomer.org,1
jackie.lynch@sakilacustomer.org,1
alma.austin@sakilacustomer.org,1
robert.baughman@sakilacustomer.org,1
misty.lambert@sakilacustomer.org,1
melinda.fernandez@sakilacustomer.org,1
ted.breaux@sakilacustomer.org,1
larry.thrasher@sakilacustomer.org,1
marjorie.tucker@sakilacustomer.org,1
irma.pearson@sakilacustomer.org,1
patricia.johnson@sakilacustomer.org,1
gordon.allard@sakilacustomer.org,1
stephanie.mitchell@sakilacustomer.org,1
nathan.runyon@sakilacustomer.org,1
patsy.davidson@sakilacustomer.org,1
agnes.bishop@sakilacustomer.org,1
wilma.richards@sakilacustomer.org,1
naomi.jennings@sakilacustomer.org,1
ana.bradley@sakilacustomer.org,1
vanessa.sims@sakilacustomer.org,1
edna.west@sakilacustomer.org,1
janet.phillips@sakilacustomer.org,1
tracy.herrmann@sakilacustomer.org,1
christian.jung@sakilacustomer.org,1
norman.currier@sakilacustomer.org,1
ruby.washington@sakilacustomer.org,1
evelyn.morgan@sakilacustomer.org,1
kent.arsenault@sakilacustomer.org,1
john.farnsworth@sakilacustomer.org,1
lorraine.stephens@sakilacustomer.org,1
tara.ryan@sakilacustomer.org,1
anthony.schwab@sakilacustomer.org,1
willie.markham@sakilacustomer.org,1
maxine.silva@sakilacustomer.org,1
juan.fraley@sakilacustomer.org,1
annie.russell@sakilacustomer.org,1
mattie.hoffman@sakilacustomer.org,1
bertha.ferguson@sakilacustomer.org,1
joanne.robertson@sakilacustomer.org,1
richard.mccrary@sakilacustomer.org,1
judy.gray@sakilacustomer.org,1
lewis.lyman@sakilacustomer.org,1
eduardo.hiatt@sakilacustomer.org,1
franklin.troutman@sakilacustomer.org,1
gerald.fultz@sakilacustomer.org,1
barry.lovelace@sakilacustomer.org,1
florence.woods@sakilacustomer.org,1
armando.gruber@sakilacustomer.org,1
ben.easter@sakilacustomer.org,1
elmer.noe@sakilacustomer.org,1
lisa.anderson@sakilacustomer.org,1
catherine.campbell@sakilacustomer.org,1
jeff.east@sakilacustomer.org,1
shane.millard@sakilacustomer.org,1
kyle.spurlock@sakilacustomer.org,1
charles.kowalski@sakilacustomer.org,1
crystal.ford@sakilacustomer.org,1
diana.alexander@sakilacustomer.org,1
vivian.ruiz@sakilacustomer.org,1
calvin.martel@sakilacustomer.org,1
christy.vargas@sakilacustomer.org,1
vincent.ralston@sakilacustomer.org,1
marcus.hidalgo@sakilacustomer.org,1
alice.stewart@sakilacustomer.org,1
benjamin.varney@sakilacustomer.org,1
pamela.baker@sakilacustomer.org,1
brad.mccurdy@sakilacustomer.org,1
michele.grant@sakilacustomer.org,1
allen.butterfield@sakilacustomer.org,1
kevin.schuler@sakilacustomer.org,1
clifton.malcolm@sakilacustomer.org,1
darryl.ashcraft@sakilacustomer.org,1
kenneth.gooden@sakilacustomer.org,1
harry.arce@sakilacustomer.org,1
louise.jenkins@sakilacustomer.org,1
frances.parker@sakilacustomer.org,1
sandra.martin@sakilacustomer.org,1
douglas.graf@sakilacustomer.org,1
jesse.schilling@sakilacustomer.org,1
terry.carlson@sakilacustomer.org,1
courtney.day@sakilacustomer.org,1
morris.mccarter@sakilacustomer.org,1
alan.kahn@sakilacustomer.org,1
gregory.mauldin@sakilacustomer.org,1
rosemary.schmidt@sakilacustomer.org,1
dorothy.taylor@sakilacustomer.org,1
ella.oliver@sakilacustomer.org,1
donna.thompson@sakilacustomer.org,1
terrence.gunderson@sakilacustomer.org,1
virgil.wofford@sakilacustomer.org,1
eric.robert@sakilacustomer.org,1
tony.carranza@sakilacustomer.org,1
helen.harris@sakilacustomer.org,1
wesley.bull@sakilacustomer.org,1
wayne.truong@sakilacustomer.org,1
mae.fletcher@sakilacustomer.org,1
pearl.garza@sakilacustomer.org,1
bobby.boudreau@sakilacustomer.org,1
roberta.harper@sakilacustomer.org,1
debbie.reyes@sakilacustomer.org,1
jonathan.scarborough@sakilacustomer.org,1
michael.silverman@sakilacustomer.org,1
stanley.scroggins@sakilacustomer.org,1
kristen.chavez@sakilacustomer.org,1
cheryl.murphy@sakilacustomer.org,1
rosa.reynolds@sakilacustomer.org,1
cody.nolen@sakilacustomer.org,1
leon.bostic@sakilacustomer.org,1
harvey.guajardo@sakilacustomer.org,1
darren.windham@sakilacustomer.org,1
glenn.pullen@sakilacustomer.org,1
earl.shanks@sakilacustomer.org,1
jessie.milam@sakilacustomer.org,1
stacey.montgomery@sakilacustomer.org,1
leslie.gordon@sakilacustomer.org,1
jennie.terry@sakilacustomer.org,1
carmen.owens@sakilacustomer.org,1
dawn.sullivan@sakilacustomer.org,1
russell.brinson@sakilacustomer.org,1
james.gannon@sakilacustomer.org,1
casey.mena@sakilacustomer.org,1
roger.quintanilla@sakilacustomer.org,1
jerry.jordon@sakilacustomer.org,1
lucy.wheeler@sakilacustomer.org,1
dolores.wagner@sakilacustomer.org,1
vera.mccoy@sakilacustomer.org,1
robin.hayes@sakilacustomer.org,1
dana.hart@sakilacustomer.org,1
hector.poindexter@sakilacustomer.org,1
ryan.salisbury@sakilacustomer.org,1
martha.gonzalez@sakilacustomer.org,1
nelson.christenson@sakilacustomer.org,1
adam.gooch@sakilacustomer.org,1
lonnie.tirado@sakilacustomer.org,1
deanna.byrd@sakilacustomer.org,1
denise.kelly@sakilacustomer.org,1
alex.gresham@sakilacustomer.org,1
pedro.chestnut@sakilacustomer.org,1
leslie.seward@sakilacustomer.org,1
cassandra.walters@sakilacustomer.org,1
brenda.wright@sakilacustomer.org,1
ramona.hale@sakilacustomer.org,1
audrey.ray@sakilacustomer.org,1
ashley.richardson@sakilacustomer.org,1
marvin.yee@sakilacustomer.org,1
jenny.castro@sakilacustomer.org,1
rose.howard@sakilacustomer.org,1
natalie.meyer@sakilacustomer.org,1
loretta.carpenter@sakilacustomer.org,1
ruben.geary@sakilacustomer.org,1
marc.outlaw@sakilacustomer.org,1
samuel.marlow@sakilacustomer.org,1
rene.mcalister@sakilacustomer.org,1
oscar.aquino@sakilacustomer.org,1
violet.rodriquez@sakilacustomer.org,1
chester.benner@sakilacustomer.org,1
julian.vest@sakilacustomer.org,1
jamie.rice@sakilacustomer.org,1
angela.hernandez@sakilacustomer.org,1
adrian.clary@sakilacustomer.org,1
bill.gavin@sakilacustomer.org,1
hazel.warren@sakilacustomer.org,1
claude.herzog@sakilacustomer.org,1
marie.turner@sakilacustomer.org,1
terrance.roush@sakilacustomer.org,1
miguel.betancourt@sakilacustomer.org,1
sarah.lewis@sakilacustomer.org,1
lucille.holmes@sakilacustomer.org,1
marion.ocampo@sakilacustomer.org,1
jared.ely@sakilacustomer.org,1
fernando.churchill@sakilacustomer.org,1
bernard.colby@sakilacustomer.org,1
laura.rodriguez@sakilacustomer.org,1
philip.causey@sakilacustomer.org,1
clifford.bowens@sakilacustomer.org,1
marion.snyder@sakilacustomer.org,1
alicia.mills@sakilacustomer.org,1
gilbert.sledge@sakilacustomer.org,1
mike.way@sakilacustomer.org,1
gina.williamson@sakilacustomer.org,1
penny.neal@sakilacustomer.org,1
jimmie.eggleston@sakilacustomer.org,1
julio.noland@sakilacustomer.org,1
clayton.barbee@sakilacustomer.org,1
derek.blakely@sakilacustomer.org,1
hugh.waldrop@sakilacustomer.org,1
sam.mcduffie@sakilacustomer.org,1
steve.mackenzie@sakilacustomer.org,1
ethel.webb@sakilacustomer.org,1
don.bone@sakilacustomer.org,1
jon.wiles@sakilacustomer.org,1
howard.fortner@sakilacustomer.org,1
charlotte.hunter@sakilacustomer.org,1
timothy.bunn@sakilacustomer.org,1
dale.ratcliff@sakilacustomer.org,1
rick.mattox@sakilacustomer.org,1
eleanor.hunt@sakilacustomer.org,1
kim.cruz@sakilacustomer.org,1
dwayne.olvera@sakilacustomer.org,1
nellie.garrett@sakilacustomer.org,1
joel.francisco@sakilacustomer.org,1
dora.medina@sakilacustomer.org,1
kathryn.coleman@sakilacustomer.org,1
carlos.coughlin@sakilacustomer.org,1
david.royal@sakilacustomer.org,1
stephen.qualls@sakilacustomer.org,1
charlene.alvarez@sakilacustomer.org,1
jerome.kenyon@sakilacustomer.org,1
gail.knight@sakilacustomer.org,1
olga.jimenez@sakilacustomer.org,1
renee.lane@sakilacustomer.org,1
lloyd.dowd@sakilacustomer.org,1
roy.whiting@sakilacustomer.org,1
gary.coy@sakilacustomer.org,1
zachary.hite@sakilacustomer.org,1
jim.rea@sakilacustomer.org,1
cecil.vines@sakilacustomer.org,1
georgia.jacobs@sakilacustomer.org,1
elizabeth.brown@sakilacustomer.org,1
tyler.wren@sakilacustomer.org,1
max.pitt@sakilacustomer.org,1
kristin.johnston@sakilacustomer.org,1
arlene.harvey@sakilacustomer.org,1
emily.diaz@sakilacustomer.org,1
guy.brownlee@sakilacustomer.org,1
nora.herrera@sakilacustomer.org,1
paula.bryant@sakilacustomer.org,1
eva.ramos@sakilacustomer.org,1
fred.wheat@sakilacustomer.org,1
claudia.fuller@sakilacustomer.org,1
jeffery.pinson@sakilacustomer.org,1
rita.graham@sakilacustomer.org,1
nina.soto@sakilacustomer.org,1
jessica.hall@sakilacustomer.org,1
francisco.skidmore@sakilacustomer.org,1
vicki.fields@sakilacustomer.org,1
valerie.black@sakilacustomer.org,1
craig.morrell@sakilacustomer.org,1
lydia.burke@sakilacustomer.org,1
wade.delvalle@sakilacustomer.org,1
maurice.crawley@sakilacustomer.org,1
roland.south@sakilacustomer.org,1
alberto.henning@sakilacustomer.org,1
heather.morris@sakilacustomer.org,1
connie.wallace@sakilacustomer.org,1
veronica.stone@sakilacustomer.org,1
anna.hill@sakilacustomer.org,1
marsha.douglas@sakilacustomer.org,1
charlie.bess@sakilacustomer.org,1
julia.flores@sakilacustomer.org,1
ray.houle@sakilacustomer.org,1
nicholas.barfield@sakilacustomer.org,1
shirley.allen@sakilacustomer.org,1
joshua.mark@sakilacustomer.org,1
marcia.dean@sakilacustomer.org,1
june.carroll@sakilacustomer.org,1
keith.rico@sakilacustomer.org,1
tammy.sanders@sakilacustomer.org,1
leo.ebert@sakilacustomer.org,1
daniel.cabral@sakilacustomer.org,1
rebecca.scott@sakilacustomer.org,1
teresa.rogers@sakilacustomer.org,1
tim.cary@sakilacustomer.org,1
chris.brothers@sakilacustomer.org,1
todd.tan@sakilacustomer.org,1
andy.vanhorn@sakilacustomer.org,1
francis.sikes@sakilacustomer.org,1
gladys.hamilton@sakilacustomer.org,1
aaron.selby@sakilacustomer.org,1
holly.fox@sakilacustomer.org,1
scott.shelley@sakilacustomer.org,1
frederick.isbell@sakilacustomer.org,1
karen.jackson@sakilacustomer.org,1
clyde.tobias@sakilacustomer.org,1
christine.roberts@sakilacustomer.org,1
bryan.hardison@sakilacustomer.org,1
daisy.bates@sakilacustomer.org,1
ron.deluca@sakilacustomer.org,1
sue.peters@sakilacustomer.org,1
melissa.king@sakilacustomer.org,1
enrique.forsythe@sakilacustomer.org,1
everett.banda@sakilacustomer.org,1
margie.wade@sakilacustomer.org,1
kathy.james@sakilacustomer.org,1
amber.dixon@sakilacustomer.org,1
herbert.kruger@sakilacustomer.org,1
willard.lumpkin@sakilacustomer.org,1
gabriel.harder@sakilacustomer.org,1
javier.elrod@sakilacustomer.org,1
thomas.grigsby@sakilacustomer.org,1
yvonne.watkins@sakilacustomer.org,1
monica.hicks@sakilacustomer.org,1
alfredo.mcadams@sakilacustomer.org,1
roberto.vu@sakilacustomer.org,1
walter.perryman@sakilacustomer.org,1
colleen.burton@sakilacustomer.org,1
amanda.carter@sakilacustomer.org,1
ken.prewitt@sakilacustomer.org,1
jeanette.greene@sakilacustomer.org,1
stacy.cunningham@sakilacustomer.org,1
kathleen.adams@sakilacustomer.org,1
jeremy.hurtado@sakilacustomer.org,1
joan.cooper@sakilacustomer.org,1
clinton.buford@sakilacustomer.org,1
gloria.cook@sakilacustomer.org,1
martin.bales@sakilacustomer.org,1
victor.barkley@sakilacustomer.org,1
juanita.mason@sakilacustomer.org,1
manuel.murrell@sakilacustomer.org,1
ramon.choate@sakilacustomer.org,1
arnold.havens@sakilacustomer.org,1
allan.cornish@sakilacustomer.org,1
norma.gonzales@sakilacustomer.org,1
milton.howland@sakilacustomer.org,1
brent.harkins@sakilacustomer.org,1
joe.gilliland@sakilacustomer.org,1
emma.boyd@sakilacustomer.org,1
barbara.jones@sakilacustomer.org,1
alfred.casillas@sakilacustomer.org,1
ian.still@sakilacustomer.org,1
sara.perry@sakilacustomer.org,1
jorge.olivares@sakilacustomer.org,1
terry.grissom@sakilacustomer.org,1
dennis.gilman@sakilacustomer.org,1
hilda.hopkins@sakilacustomer.org,1
delores.hansen@sakilacustomer.org,1
erin.dunn@sakilacustomer.org,1
edith.mcdonald@sakilacustomer.org,1
jimmy.schrader@sakilacustomer.org,1
lori.wood@sakilacustomer.org,1
corey.hauser@sakilacustomer.org,1
myrtle.fleming@sakilacustomer.org,1
henry.billingsley@sakilacustomer.org,1
joyce.edwards@sakilacustomer.org,1
vickie.brewer@sakilacustomer.org,1
geraldine.perkins@sakilacustomer.org,1
bonnie.hughes@sakilacustomer.org,1
linda.williams@sakilacustomer.org,1
sonia.gregory@sakilacustomer.org,1
danny.isom@sakilacustomer.org,1
ellen.simpson@sakilacustomer.org,1
christina.ramirez@sakilacustomer.org,1
austin.cintron@sakilacustomer.org,1
kristina.chambers@sakilacustomer.org,1
mathew.bolin@sakilacustomer.org,1
sylvia.ortiz@sakilacustomer.org,1
eileen.carr@sakilacustomer.org,1
leonard.schofield@sakilacustomer.org,1
bradley.motley@sakilacustomer.org,1
lee.hawks@sakilacustomer.org,1
marlene.welch@sakilacustomer.org,1
heidi.larson@sakilacustomer.org,1
