rental_id,rental_date,return_date,payment_id,payment_amount,payment_date,payment_status,accrual_amount,total_revenue,customer_id,customer_first_name,customer_last_name,customer_address,customer_city,customer_country,region,film_id,title,release_year,rental_term,rental_rate,rating,language,category,store_id,staff_id,staff_first_name,staff_last_name
3407,2005-06-21,2005-06-24,17518,0.99,2007-02-21,paid,0,0.99,343,Douglas,Graf,785 Vaduz Street,Mexicali,Mexico,North America,855,Streak Ridgemont,2006,7,0.99,PG-13,English,Documentary,2,2,Jon,Stephens
1341,2005-06-15,2005-06-21,17519,3.99,2007-02-15,paid,0,3.99,344,Henry,Billingsley,1516 Escobar Drive,Nukualofa,Tonga,Asia-Pacific,738,Rocketeer Mother,2006,3,0.99,PG-13,English,Foreign,1,2,Jon,Stephens
1475,2005-06-15,2005-06-18,17520,4.99,2007-02-15,paid,0,4.99,344,Henry,Billingsley,1516 Escobar Drive,Nukualofa,Tonga,Asia-Pacific,398,Hanover Galaxy,2006,5,4.99,NC-17,English,Music,2,2,Jon,Stephens
1731,2005-06-16,2005-06-19,17521,0.99,2007-02-16,paid,0,0.99,344,Henry,Billingsley,1516 Escobar Drive,Nukualofa,Tonga,Asia-Pacific,809,Slipper Fidelity,2006,5,0.99,PG-13,English,Sports,2,2,Jon,Stephens
1210,2005-06-15,2005-06-20,17522,0.99,2007-02-15,paid,0,0.99,345,Carl,Artis,1628 Nagareyama Lane,San Lorenzo,Paraguay,Latin America,1,Academy Dinosaur,2006,6,0.99,PG,English,Documentary,2,2,Jon,Stephens
1457,2005-06-15,2005-06-19,17523,4.99,2007-02-15,paid,0,4.99,345,Carl,Artis,1628 Nagareyama Lane,San Lorenzo,Paraguay,Latin America,159,Closer Bang,2006,5,4.99,R,English,Comedy,2,1,Mike,Hillyer
1550,2005-06-16,2005-06-18,17524,0.99,2007-02-16,paid,0,0.99,345,Carl,Artis,1628 Nagareyama Lane,San Lorenzo,Paraguay,Latin America,436,Hours Rage,2006,4,0.99,NC-17,English,New,2,1,Mike,Hillyer
2766,2005-06-19,2005-06-23,17525,4.99,2007-02-19,paid,0,4.99,345,Carl,Artis,1628 Nagareyama Lane,San Lorenzo,Paraguay,Latin America,749,Rules Human,2006,6,4.99,R,English,Horror,2,2,Jon,Stephens
1994,2005-06-17,2005-06-25,17526,5.99,2007-02-17,paid,0,5.99,346,Arthur,Simpkins,1157 Nyeri Loop,Maikop,Russian Federation,Europe,476,Jason Trap,2006,5,2.99,NC-17,English,Family,2,2,Jon,Stephens
3372,2005-06-21,2005-06-27,17527,2.99,2007-02-21,paid,0,2.99,346,Arthur,Simpkins,1157 Nyeri Loop,Maikop,Russian Federation,Europe,906,Tramp Others,2006,4,0.99,PG,English,Comedy,2,2,Jon,Stephens
3421,2005-06-21,2005-06-24,17528,2.99,2007-02-21,paid,0,2.99,346,Arthur,Simpkins,1157 Nyeri Loop,Maikop,Russian Federation,Europe,857,Strictly Scarface,2006,3,2.99,PG-13,English,Comedy,1,1,Mike,Hillyer
1711,2005-06-16,2005-06-25,17529,8.99,2007-02-16,paid,0,8.99,347,Ryan,Salisbury,1673 Tangail Drive,Daugavpils,Latvia,Europe,61,Beauty Grease,2006,5,4.99,G,English,Drama,1,1,Mike,Hillyer
2274,2005-06-18,2005-06-21,17530,0.99,2007-02-18,paid,0,0.99,347,Ryan,Salisbury,1673 Tangail Drive,Daugavpils,Latvia,Europe,663,Patient Sister,2006,7,0.99,NC-17,English,Classics,2,2,Jon,Stephens
3026,2005-06-20,2005-06-21,17531,4.99,2007-02-20,paid,0,4.99,347,Ryan,Salisbury,1673 Tangail Drive,Daugavpils,Latvia,Europe,878,Teen Apollo,2006,3,4.99,G,English,Travel,2,2,Jon,Stephens
3092,2005-06-20,2005-06-27,17532,8.99,2007-02-20,paid,0,8.99,347,Ryan,Salisbury,1673 Tangail Drive,Daugavpils,Latvia,Europe,946,Virtual Spoilers,2006,3,4.99,NC-17,English,Family,2,1,Mike,Hillyer
3326,2005-06-21,2005-06-30,17533,7.99,2007-02-21,paid,0,7.99,347,Ryan,Salisbury,1673 Tangail Drive,Daugavpils,Latvia,Europe,229,Devil Desire,2006,6,4.99,R,English,Action,2,2,Jon,Stephens
1654,2005-06-16,2005-06-20,17534,2.99,2007-02-16,paid,0,2.99,348,Roger,Quintanilla,381 Kabul Way,Hsichuh,Taiwan,Asia-Pacific,232,Dirty Ace,2006,7,2.99,NC-17,English,Games,1,2,Jon,Stephens
2041,2005-06-17,2005-06-26,17535,8.99,2007-02-17,paid,0,8.99,348,Roger,Quintanilla,381 Kabul Way,Hsichuh,Taiwan,Asia-Pacific,170,Command Darling,2006,5,4.99,PG-13,English,Foreign,2,2,Jon,Stephens
2499,2005-06-18,2005-06-20,17536,0.99,2007-02-18,paid,0,0.99,348,Roger,Quintanilla,381 Kabul Way,Hsichuh,Taiwan,Asia-Pacific,697,Primary Glass,2006,7,0.99,G,English,Action,1,2,Jon,Stephens
1197,2005-06-15,2005-06-20,17537,2.99,2007-02-15,paid,0,2.99,349,Joe,Gilliland,953 Hodeida Street,Imus,Philippines,Asia-Pacific,835,Spy Mile,2006,6,2.99,PG-13,English,Games,1,1,Mike,Hillyer
1523,2005-06-16,2005-06-17,17538,0.99,2007-02-15,paid,0,0.99,349,Joe,Gilliland,953 Hodeida Street,Imus,Philippines,Asia-Pacific,149,Christmas Moonshine,2006,7,0.99,NC-17,English,Children,2,2,Jon,Stephens
2987,2005-06-20,2005-06-28,17539,6.99,2007-02-20,paid,0,6.99,349,Joe,Gilliland,953 Hodeida Street,Imus,Philippines,Asia-Pacific,334,Freddy Storm,2006,6,4.99,NC-17,English,Horror,2,2,Jon,Stephens
3067,2005-06-20,2005-06-28,17540,8.99,2007-02-20,paid,0,8.99,349,Joe,Gilliland,953 Hodeida Street,Imus,Philippines,Asia-Pacific,680,Pinocchio Simon,2006,4,4.99,PG,English,Comedy,2,2,Jon,Stephens
2011,2005-06-17,2005-06-24,17541,3.99,2007-02-17,paid,0,3.99,350,Juan,Fraley,469 Nakhon Sawan Street,Teboksary,Russian Federation,Europe,160,Club Graffiti,2006,4,0.99,PG-13,English,Animation,2,2,Jon,Stephens
2619,2005-06-19,2005-06-21,17542,0.99,2007-02-19,paid,0,0.99,350,Juan,Fraley,469 Nakhon Sawan Street,Teboksary,Russian Federation,Europe,402,Harper Dying,2006,3,0.99,G,English,Animation,2,2,Jon,Stephens
3079,2005-06-20,2005-06-21,17543,2.99,2007-02-20,paid,0,2.99,350,Juan,Fraley,469 Nakhon Sawan Street,Teboksary,Russian Federation,Europe,462,Insider Arizona,2006,5,2.99,NC-17,English,Music,1,1,Mike,Hillyer
3206,2005-06-21,2005-06-22,17544,0.99,2007-02-20,paid,0,0.99,350,Juan,Fraley,469 Nakhon Sawan Street,Teboksary,Russian Federation,Europe,475,Japanese Run,2006,6,0.99,G,English,Horror,2,1,Mike,Hillyer
1792,2005-06-16,2005-06-26,17545,5.99,2007-02-16,paid,0,5.99,351,Jack,Foust,1378 Beira Loop,Zeleznogorsk,Russian Federation,Europe,832,Splash Gump,2006,5,0.99,PG,English,Family,1,1,Mike,Hillyer
1869,2005-06-17,2005-06-19,17546,0.99,2007-02-17,paid,0,0.99,351,Jack,Foust,1378 Beira Loop,Zeleznogorsk,Russian Federation,Europe,191,Crooked Frogmen,2006,6,0.99,PG-13,English,Children,2,1,Mike,Hillyer
2759,2005-06-19,2005-06-24,17547,2.99,2007-02-19,paid,0,2.99,351,Jack,Foust,1378 Beira Loop,Zeleznogorsk,Russian Federation,Europe,150,Cider Desire,2006,7,2.99,PG,English,Documentary,2,2,Jon,Stephens
1498,2005-06-15,2005-06-17,17548,0.99,2007-02-15,paid,0,0.99,352,Albert,Crouse,1641 Changhwa Place,Bamenda,Cameroon,Middle East and Africa,807,Sleuth Orient,2006,4,0.99,NC-17,English,Games,1,1,Mike,Hillyer
1649,2005-06-16,2005-06-18,17549,4.99,2007-02-16,paid,0,4.99,352,Albert,Crouse,1641 Changhwa Place,Bamenda,Cameroon,Middle East and Africa,86,Boogie Amelie,2006,6,4.99,R,English,Music,1,1,Mike,Hillyer
1678,2005-06-16,2005-06-19,17550,4.99,2007-02-16,paid,0,4.99,352,Albert,Crouse,1641 Changhwa Place,Bamenda,Cameroon,Middle East and Africa,403,Harry Idaho,2006,5,4.99,PG-13,English,Drama,2,1,Mike,Hillyer
1780,2005-06-16,2005-06-19,17551,4.99,2007-02-16,paid,0,4.99,352,Albert,Crouse,1641 Changhwa Place,Bamenda,Cameroon,Middle East and Africa,31,Apache Divine,2006,5,4.99,NC-17,English,Family,1,2,Jon,Stephens
3331,2005-06-21,2005-06-26,17552,4.99,2007-02-21,paid,0,4.99,352,Albert,Crouse,1641 Changhwa Place,Bamenda,Cameroon,Middle East and Africa,640,Opus Ice,2006,5,4.99,R,English,Foreign,2,2,Jon,Stephens
1359,2005-06-15,2005-06-17,17553,2.99,2007-02-15,paid,0,2.99,353,Jonathan,Scarborough,1698 Southport Loop,Pachuca de Soto,Mexico,North America,690,Pond Seattle,2006,7,2.99,PG-13,English,Animation,1,1,Mike,Hillyer
1928,2005-06-17,2005-06-26,17554,7.99,2007-02-17,paid,0,7.99,353,Jonathan,Scarborough,1698 Southport Loop,Pachuca de Soto,Mexico,North America,757,Sagebrush Clueless,2006,4,2.99,G,English,Documentary,2,1,Mike,Hillyer
3233,2005-06-21,2005-06-28,17555,6.99,2007-02-21,paid,0,6.99,353,Jonathan,Scarborough,1698 Southport Loop,Pachuca de Soto,Mexico,North America,774,Searchers Wait,2006,3,2.99,NC-17,English,Comedy,1,2,Jon,Stephens
1491,2005-06-15,2005-06-20,17556,0.99,2007-02-15,paid,0,0.99,354,Justin,Ngo,519 Nyeri Manor,Santo Andr,Brazil,Latin America,186,Craft Outfield,2006,6,0.99,NC-17,English,Drama,1,1,Mike,Hillyer
2275,2005-06-18,2005-06-24,17557,4.99,2007-02-18,paid,0,4.99,354,Justin,Ngo,519 Nyeri Manor,Santo Andr,Brazil,Latin America,616,National Story,2006,4,2.99,NC-17,English,Documentary,1,2,Jon,Stephens
2769,2005-06-19,2005-06-26,17558,6.99,2007-02-19,paid,0,6.99,354,Justin,Ngo,519 Nyeri Manor,Santo Andr,Brazil,Latin America,271,Easy Gladiator,2006,5,4.99,G,English,Action,1,2,Jon,Stephens
3139,2005-06-20,2005-06-23,17559,2.99,2007-02-20,paid,0,2.99,354,Justin,Ngo,519 Nyeri Manor,Santo Andr,Brazil,Latin America,761,Santa Paris,2006,7,2.99,PG,English,Children,2,1,Mike,Hillyer
1488,2005-06-15,2005-06-16,17560,0.99,2007-02-15,paid,0,0.99,355,Terry,Grissom,619 Hunuco Avenue,Matsue,Japan,Asia-Pacific,241,Donnie Alley,2006,4,0.99,NC-17,English,Animation,1,1,Mike,Hillyer
1612,2005-06-16,2005-06-19,17561,2.99,2007-02-16,paid,0,2.99,355,Terry,Grissom,619 Hunuco Avenue,Matsue,Japan,Asia-Pacific,664,Patriot Roman,2006,6,2.99,PG,English,Action,2,1,Mike,Hillyer
1410,2005-06-15,2005-06-21,17562,0.99,2007-02-15,paid,0,0.99,356,Gerald,Fultz,45 Aparecida de Goinia Place,Satna,India,Asia-Pacific,176,Congeniality Quest,2006,6,0.99,PG-13,English,Sports,1,1,Mike,Hillyer
2405,2005-06-18,2005-06-21,17563,2.99,2007-02-18,paid,0,2.99,356,Gerald,Fultz,45 Aparecida de Goinia Place,Satna,India,Asia-Pacific,788,Ship Wonderland,2006,5,2.99,R,English,Documentary,1,1,Mike,Hillyer
2433,2005-06-18,2005-06-23,17564,4.99,2007-02-18,paid,0,4.99,356,Gerald,Fultz,45 Aparecida de Goinia Place,Satna,India,Asia-Pacific,207,Dangerous Uptown,2006,7,4.99,PG,English,Foreign,1,2,Jon,Stephens
1246,2005-06-15,2005-06-21,17565,5.99,2007-02-15,paid,0,5.99,357,Keith,Rico,482 Kowloon and New Kowloon Manor,Bratislava,Slovakia,Europe,95,Breakfast Goldfinger,2006,5,4.99,G,English,New,2,1,Mike,Hillyer
1788,2005-06-16,2005-06-22,17566,1.99,2007-02-16,paid,0,1.99,357,Keith,Rico,482 Kowloon and New Kowloon Manor,Bratislava,Slovakia,Europe,831,Spirited Casualties,2006,5,0.99,PG-13,English,Sci-Fi,1,1,Mike,Hillyer
1971,2005-06-17,2005-06-25,17567,1.99,2007-02-17,paid,0,1.99,357,Keith,Rico,482 Kowloon and New Kowloon Manor,Bratislava,Slovakia,Europe,629,Notorious Reunion,2006,7,0.99,NC-17,English,Documentary,2,2,Jon,Stephens
2153,2005-06-17,2005-06-24,17568,6.99,2007-02-17,paid,0,6.99,357,Keith,Rico,482 Kowloon and New Kowloon Manor,Bratislava,Slovakia,Europe,532,Loser Hustler,2006,5,4.99,PG,English,Sports,2,2,Jon,Stephens
1455,2005-06-15,2005-06-18,17569,2.99,2007-02-15,paid,0,2.99,358,Samuel,Marlow,604 Bern Place,Ranchi,India,Asia-Pacific,474,Jade Bunch,2006,6,2.99,NC-17,English,Sports,2,2,Jon,Stephens
1908,2005-06-17,2005-06-19,17570,0.99,2007-02-17,paid,0,0.99,358,Samuel,Marlow,604 Bern Place,Ranchi,India,Asia-Pacific,89,Borrowers Bedazzled,2006,7,0.99,G,English,Animation,1,1,Mike,Hillyer
2114,2005-06-17,2005-06-23,17571,5.99,2007-02-17,paid,0,5.99,358,Samuel,Marlow,604 Bern Place,Ranchi,India,Asia-Pacific,774,Searchers Wait,2006,3,2.99,NC-17,English,Comedy,1,1,Mike,Hillyer
2721,2005-06-19,2005-06-21,17572,2.99,2007-02-19,paid,0,2.99,358,Samuel,Marlow,604 Bern Place,Ranchi,India,Asia-Pacific,829,Spinal Rocky,2006,7,2.99,PG-13,English,Family,1,2,Jon,Stephens
2749,2005-06-19,2005-06-25,17573,2.99,2007-02-19,paid,0,2.99,358,Samuel,Marlow,604 Bern Place,Ranchi,India,Asia-Pacific,337,Frida Slipper,2006,6,2.99,R,English,Foreign,1,2,Jon,Stephens
3245,2005-06-21,2005-06-25,17574,2.99,2007-02-21,paid,0,2.99,358,Samuel,Marlow,604 Bern Place,Ranchi,India,Asia-Pacific,447,Ice Crossing,2006,5,2.99,R,English,Games,1,2,Jon,Stephens
1329,2005-06-15,2005-06-17,17575,4.99,2007-02-15,paid,0,4.99,359,Willie,Markham,1623 Kingstown Drive,Almirante Brown,Argentina,Latin America,255,Driving Polish,2006,6,4.99,NC-17,English,Music,1,2,Jon,Stephens
1770,2005-06-16,2005-06-23,17576,1.99,2007-02-16,paid,0,1.99,359,Willie,Markham,1623 Kingstown Drive,Almirante Brown,Argentina,Latin America,367,Goldmine Tycoon,2006,6,0.99,R,English,Sci-Fi,1,2,Jon,Stephens
2401,2005-06-18,2005-06-19,17577,0.99,2007-02-18,paid,0,0.99,359,Willie,Markham,1623 Kingstown Drive,Almirante Brown,Argentina,Latin America,17,Alone Trip,2006,3,0.99,R,English,Music,2,2,Jon,Stephens
2736,2005-06-19,2005-06-21,17578,4.99,2007-02-19,paid,0,4.99,359,Willie,Markham,1623 Kingstown Drive,Almirante Brown,Argentina,Latin America,985,Wonderland Christmas,2006,4,4.99,PG,English,Sci-Fi,1,1,Mike,Hillyer
1492,2005-06-15,2005-06-17,17579,0.99,2007-02-15,paid,0,0.99,360,Ralph,Madrigal,1009 Zanzibar Lane,Arecibo,Puerto Rico,North America,901,Tracy Cider,2006,3,0.99,G,English,Animation,1,1,Mike,Hillyer
2402,2005-06-18,2005-06-27,17580,6.99,2007-02-18,paid,0,6.99,360,Ralph,Madrigal,1009 Zanzibar Lane,Arecibo,Puerto Rico,North America,621,Network Peak,2006,5,2.99,PG-13,English,Family,2,1,Mike,Hillyer
2541,2005-06-19,2005-06-23,17581,3.99,2007-02-19,paid,0,3.99,360,Ralph,Madrigal,1009 Zanzibar Lane,Arecibo,Puerto Rico,North America,25,Angels Life,2006,3,2.99,G,English,New,2,1,Mike,Hillyer
2780,2005-06-19,2005-06-28,17582,6.99,2007-02-19,paid,0,6.99,360,Ralph,Madrigal,1009 Zanzibar Lane,Arecibo,Puerto Rico,North America,330,Forrester Comancheros,2006,7,4.99,NC-17,English,Animation,2,1,Mike,Hillyer
2353,2005-06-18,2005-06-19,17583,4.99,2007-02-18,paid,0,4.99,361,Lawrence,Lawton,114 Jalib al-Shuyukh Manor,Yaound,Cameroon,Middle East and Africa,708,Quills Bull,2006,4,4.99,R,English,Documentary,1,1,Mike,Hillyer
2558,2005-06-19,2005-06-24,17584,1.99,2007-02-19,paid,0,1.99,361,Lawrence,Lawton,114 Jalib al-Shuyukh Manor,Yaound,Cameroon,Middle East and Africa,641,Orange Grapes,2006,4,0.99,PG-13,English,Foreign,2,1,Mike,Hillyer
2851,2005-06-19,2005-06-22,17585,2.99,2007-02-19,paid,0,2.99,361,Lawrence,Lawton,114 Jalib al-Shuyukh Manor,Yaound,Cameroon,Middle East and Africa,468,Invasion Cyclone,2006,5,2.99,PG,English,Children,1,1,Mike,Hillyer
3303,2005-06-21,2005-06-26,17586,2.99,2007-02-21,paid,0,2.99,361,Lawrence,Lawton,114 Jalib al-Shuyukh Manor,Yaound,Cameroon,Middle East and Africa,344,Fury Murder,2006,3,0.99,PG-13,English,Children,1,2,Jon,Stephens
1429,2005-06-15,2005-06-18,17587,2.99,2007-02-15,paid,0,2.99,362,Nicholas,Barfield,1163 London Parkway,Belm,Brazil,Latin America,895,Tomorrow Hustler,2006,3,2.99,R,English,Classics,1,1,Mike,Hillyer
1529,2005-06-16,2005-06-22,17588,2.99,2007-02-15,paid,0,2.99,362,Nicholas,Barfield,1163 London Parkway,Belm,Brazil,Latin America,368,Gone Trouble,2006,7,2.99,R,English,Drama,1,2,Jon,Stephens
1615,2005-06-16,2005-06-25,17589,2.99,2007-02-16,paid,0,2.99,362,Nicholas,Barfield,1163 London Parkway,Belm,Brazil,Latin America,850,Story Side,2006,7,0.99,R,English,Action,2,1,Mike,Hillyer
3197,2005-06-21,2005-06-23,17590,2.99,2007-02-20,paid,0,2.99,362,Nicholas,Barfield,1163 London Parkway,Belm,Brazil,Latin America,393,Halloween Nuts,2006,6,2.99,PG-13,English,Documentary,1,2,Jon,Stephens
3393,2005-06-21,2005-06-25,17591,2.99,2007-02-21,paid,0,2.99,362,Nicholas,Barfield,1163 London Parkway,Belm,Brazil,Latin America,356,Giant Troopers,2006,5,2.99,R,English,Children,2,2,Jon,Stephens
1426,2005-06-15,2005-06-18,17592,4.99,2007-02-15,paid,0,4.99,363,Roy,Whiting,1658 Jastrzebie-Zdrj Loop,Nyeri,Kenya,Middle East and Africa,964,Waterfront Deliverance,2006,4,4.99,G,English,Action,2,2,Jon,Stephens
1569,2005-06-16,2005-06-18,17593,4.99,2007-02-16,paid,0,4.99,363,Roy,Whiting,1658 Jastrzebie-Zdrj Loop,Nyeri,Kenya,Middle East and Africa,856,Streetcar Intentions,2006,5,4.99,R,English,Horror,2,2,Jon,Stephens
1847,2005-06-17,2005-06-20,17594,4.99,2007-02-16,paid,0,4.99,363,Roy,Whiting,1658 Jastrzebie-Zdrj Loop,Nyeri,Kenya,Middle East and Africa,265,Dying Maker,2006,5,4.99,PG,English,Comedy,1,1,Mike,Hillyer
2540,2005-06-19,2005-06-20,17595,4.99,2007-02-19,paid,0,4.99,363,Roy,Whiting,1658 Jastrzebie-Zdrj Loop,Nyeri,Kenya,Middle East and Africa,938,Velvet Terminator,2006,3,4.99,R,English,Comedy,1,2,Jon,Stephens
3281,2005-06-21,2005-06-24,17596,2.99,2007-02-21,paid,0,2.99,363,Roy,Whiting,1658 Jastrzebie-Zdrj Loop,Nyeri,Kenya,Middle East and Africa,872,Sweet Brotherhood,2006,3,2.99,R,English,Travel,2,1,Mike,Hillyer
1722,2005-06-16,2005-06-19,17597,2.99,2007-02-16,paid,0,2.99,364,Benjamin,Varney,817 Laredo Avenue,Guadalajara,Mexico,North America,463,Instinct Airport,2006,4,2.99,PG,English,Sports,2,2,Jon,Stephens
2442,2005-06-18,2005-06-22,17598,2.99,2007-02-18,paid,0,2.99,364,Benjamin,Varney,817 Laredo Avenue,Guadalajara,Mexico,North America,880,Telemark Heartbreakers,2006,6,2.99,PG-13,English,Animation,2,1,Mike,Hillyer
2606,2005-06-19,2005-06-21,17599,4.99,2007-02-19,paid,0,4.99,364,Benjamin,Varney,817 Laredo Avenue,Guadalajara,Mexico,North America,898,Tourist Pelican,2006,4,4.99,PG-13,English,Sports,1,2,Jon,Stephens
2857,2005-06-19,2005-06-25,17600,4.99,2007-02-19,paid,0,4.99,364,Benjamin,Varney,817 Laredo Avenue,Guadalajara,Mexico,North America,633,October Submarine,2006,6,4.99,PG-13,English,Classics,2,2,Jon,Stephens
2962,2005-06-20,2005-06-26,17601,3.99,2007-02-20,paid,0,3.99,364,Benjamin,Varney,817 Laredo Avenue,Guadalajara,Mexico,North America,652,Pajama Jawbreaker,2006,3,0.99,R,English,Classics,1,1,Mike,Hillyer
1303,2005-06-15,2005-06-20,17602,1.99,2007-02-15,paid,0,1.99,365,Bruce,Schwarz,1565 Tangail Manor,Okinawa,Japan,Asia-Pacific,436,Hours Rage,2006,4,0.99,NC-17,English,New,1,2,Jon,Stephens
1578,2005-06-16,2005-06-23,17603,6.99,2007-02-16,paid,0,6.99,365,Bruce,Schwarz,1565 Tangail Manor,Okinawa,Japan,Asia-Pacific,745,Roses Treasure,2006,5,4.99,PG-13,English,Sports,2,1,Mike,Hillyer
1983,2005-06-17,2005-06-24,17604,4.99,2007-02-17,paid,0,4.99,365,Bruce,Schwarz,1565 Tangail Manor,Okinawa,Japan,Asia-Pacific,426,Home Pity,2006,7,4.99,R,English,Music,2,1,Mike,Hillyer
2525,2005-06-19,2005-06-24,17605,2.99,2007-02-18,paid,0,2.99,365,Bruce,Schwarz,1565 Tangail Manor,Okinawa,Japan,Asia-Pacific,288,Escape Metropolis,2006,7,2.99,R,English,Travel,2,2,Jon,Stephens
3156,2005-06-20,2005-06-21,17606,0.99,2007-02-20,paid,0,0.99,365,Bruce,Schwarz,1565 Tangail Manor,Okinawa,Japan,Asia-Pacific,479,Jedi Beneath,2006,7,0.99,PG,English,Family,2,2,Jon,Stephens
1401,2005-06-15,2005-06-21,17607,1.99,2007-02-15,paid,0,1.99,366,Brandon,Huey,1912 Emeishan Drive,Balikesir,Turkey,Middle East and Africa,890,Tights Dawn,2006,5,0.99,R,English,Sports,1,2,Jon,Stephens
2214,2005-06-18,2005-06-18,17608,0.99,2007-02-18,paid,0,0.99,366,Brandon,Huey,1912 Emeishan Drive,Balikesir,Turkey,Middle East and Africa,531,Lose Inch,2006,3,0.99,R,English,Foreign,1,2,Jon,Stephens
3078,2005-06-20,2005-06-24,17609,0.99,2007-02-20,paid,0,0.99,367,Adam,Gooch,230 Urawa Drive,Adoni,India,Asia-Pacific,795,Siege Madre,2006,7,0.99,R,English,Family,1,1,Mike,Hillyer
1186,2005-06-15,2005-06-16,17610,0.99,2007-02-14,paid,0,0.99,368,Harry,Arce,1922 Miraj Way,Najafabad,Iran,Middle East and Africa,341,Frost Head,2006,5,0.99,PG,English,Classics,2,1,Mike,Hillyer
1513,2005-06-15,2005-06-23,17611,9.99,2007-02-15,paid,0,9.99,368,Harry,Arce,1922 Miraj Way,Najafabad,Iran,Middle East and Africa,260,Dude Blindness,2006,3,4.99,G,English,Sports,2,1,Mike,Hillyer
2531,2005-06-19,2005-06-22,17612,4.99,2007-02-18,paid,0,4.99,368,Harry,Arce,1922 Miraj Way,Najafabad,Iran,Middle East and Africa,167,Coma Head,2006,6,4.99,NC-17,English,Travel,2,2,Jon,Stephens
2694,2005-06-19,2005-06-24,17613,4.99,2007-02-19,paid,0,4.99,368,Harry,Arce,1922 Miraj Way,Najafabad,Iran,Middle East and Africa,84,Boiled Dares,2006,7,4.99,PG,English,Travel,1,1,Mike,Hillyer
