customer_email,frequency,percentage
gordon.allard@sakilacustomer.org,1,0.17
stephanie.mitchell@sakilacustomer.org,1,0.17
nathan.runyon@sakilacustomer.org,1,0.17
patsy.davidson@sakilacustomer.org,1,0.17
agnes.bishop@sakilacustomer.org,1,0.17
wilma.richards@sakilacustomer.org,1,0.17
naomi.jennings@sakilacustomer.org,1,0.17
ana.bradley@sakilacustomer.org,1,0.17
vanessa.sims@sakilacustomer.org,1,0.17
edna.west@sakilacustomer.org,1,0.17
janet.phillips@sakilacustomer.org,1,0.17
tracy.herrmann@sakilacustomer.org,1,0.17
christian.jung@sakilacustomer.org,1,0.17
norman.currier@sakilacustomer.org,1,0.17
ruby.washington@sakilacustomer.org,1,0.17
evelyn.morgan@sakilacustomer.org,1,0.17
kent.arsenault@sakilacustomer.org,1,0.17
john.farnsworth@sakilacustomer.org,1,0.17
lorraine.stephens@sakilacustomer.org,1,0.17
tara.ryan@sakilacustomer.org,1,0.17
anthony.schwab@sakilacustomer.org,1,0.17
willie.markham@sakilacustomer.org,1,0.17
maxine.silva@sakilacustomer.org,1,0.17
juan.fraley@sakilacustomer.org,1,0.17
annie.russell@sakilacustomer.org,1,0.17
mattie.hoffman@sakilacustomer.org,1,0.17
bertha.ferguson@sakilacustomer.org,1,0.17
joanne.robertson@sakilacustomer.org,1,0.17
richard.mccrary@sakilacustomer.org,1,0.17
judy.gray@sakilacustomer.org,1,0.17
lewis.lyman@sakilacustomer.org,1,0.17
eduardo.hiatt@sakilacustomer.org,1,0.17
franklin.troutman@sakilacustomer.org,1,0.17
gerald.fultz@sakilacustomer.org,1,0.17
barry.lovelace@sakilacustomer.org,1,0.17
florence.woods@sakilacustomer.org,1,0.17
armando.gruber@sakilacustomer.org,1,0.17
ben.easter@sakilacustomer.org,1,0.17
elmer.noe@sakilacustomer.org,1,0.17
lisa.anderson@sakilacustomer.org,1,0.17
catherine.campbell@sakilacustomer.org,1,0.17
jeff.east@sakilacustomer.org,1,0.17
shane.millard@sakilacustomer.org,1,0.17
kyle.spurlock@sakilacustomer.org,1,0.17
charles.kowalski@sakilacustomer.org,1,0.17
crystal.ford@sakilacustomer.org,1,0.17
diana.alexander@sakilacustomer.org,1,0.17
vivian.ruiz@sakilacustomer.org,1,0.17
calvin.martel@sakilacustomer.org,1,0.17
christy.vargas@sakilacustomer.org,1,0.17
vincent.ralston@sakilacustomer.org,1,0.17
marcus.hidalgo@sakilacustomer.org,1,0.17
alice.stewart@sakilacustomer.org,1,0.17
benjamin.varney@sakilacustomer.org,1,0.17
pamela.baker@sakilacustomer.org,1,0.17
brad.mccurdy@sakilacustomer.org,1,0.17
michele.grant@sakilacustomer.org,1,0.17
allen.butterfield@sakilacustomer.org,1,0.17
kevin.schuler@sakilacustomer.org,1,0.17
clifton.malcolm@sakilacustomer.org,1,0.17
darryl.ashcraft@sakilacustomer.org,1,0.17
kenneth.gooden@sakilacustomer.org,1,0.17
harry.arce@sakilacustomer.org,1,0.17
louise.jenkins@sakilacustomer.org,1,0.17
frances.parker@sakilacustomer.org,1,0.17
sandra.martin@sakilacustomer.org,1,0.17
douglas.graf@sakilacustomer.org,1,0.17
jesse.schilling@sakilacustomer.org,1,0.17
terry.carlson@sakilacustomer.org,1,0.17
courtney.day@sakilacustomer.org,1,0.17
morris.mccarter@sakilacustomer.org,1,0.17
alan.kahn@sakilacustomer.org,1,0.17
gregory.mauldin@sakilacustomer.org,1,0.17
rosemary.schmidt@sakilacustomer.org,1,0.17
dorothy.taylor@sakilacustomer.org,1,0.17
ella.oliver@sakilacustomer.org,1,0.17
donna.thompson@sakilacustomer.org,1,0.17
terrence.gunderson@sakilacustomer.org,1,0.17
virgil.wofford@sakilacustomer.org,1,0.17
eric.robert@sakilacustomer.org,1,0.17
tony.carranza@sakilacustomer.org,1,0.17
helen.harris@sakilacustomer.org,1,0.17
wesley.bull@sakilacustomer.org,1,0.17
wayne.truong@sakilacustomer.org,1,0.17
mae.fletcher@sakilacustomer.org,1,0.17
pearl.garza@sakilacustomer.org,1,0.17
bobby.boudreau@sakilacustomer.org,1,0.17
roberta.harper@sakilacustomer.org,1,0.17
debbie.reyes@sakilacustomer.org,1,0.17
jonathan.scarborough@sakilacustomer.org,1,0.17
michael.silverman@sakilacustomer.org,1,0.17
stanley.scroggins@sakilacustomer.org,1,0.17
kristen.chavez@sakilacustomer.org,1,0.17
cheryl.murphy@sakilacustomer.org,1,0.17
rosa.reynolds@sakilacustomer.org,1,0.17
cody.nolen@sakilacustomer.org,1,0.17
leon.bostic@sakilacustomer.org,1,0.17
harvey.guajardo@sakilacustomer.org,1,0.17
darren.windham@sakilacustomer.org,1,0.17
glenn.pullen@sakilacustomer.org,1,0.17
earl.shanks@sakilacustomer.org,1,0.17
jessie.milam@sakilacustomer.org,1,0.17
stacey.montgomery@sakilacustomer.org,1,0.17
leslie.gordon@sakilacustomer.org,1,0.17
jennie.terry@sakilacustomer.org,1,0.17
carmen.owens@sakilacustomer.org,1,0.17
dawn.sullivan@sakilacustomer.org,1,0.17
russell.brinson@sakilacustomer.org,1,0.17
james.gannon@sakilacustomer.org,1,0.17
casey.mena@sakilacustomer.org,1,0.17
roger.quintanilla@sakilacustomer.org,1,0.17
jerry.jordon@sakilacustomer.org,1,0.17
lucy.wheeler@sakilacustomer.org,1,0.17
dolores.wagner@sakilacustomer.org,1,0.17
vera.mccoy@sakilacustomer.org,1,0.17
robin.hayes@sakilacustomer.org,1,0.17
dana.hart@sakilacustomer.org,1,0.17
hector.poindexter@sakilacustomer.org,1,0.17
ryan.salisbury@sakilacustomer.org,1,0.17
martha.gonzalez@sakilacustomer.org,1,0.17
nelson.christenson@sakilacustomer.org,1,0.17
adam.gooch@sakilacustomer.org,1,0.17
lonnie.tirado@sakilacustomer.org,1,0.17
deanna.byrd@sakilacustomer.org,1,0.17
denise.kelly@sakilacustomer.org,1,0.17
alex.gresham@sakilacustomer.org,1,0.17
pedro.chestnut@sakilacustomer.org,1,0.17
leslie.seward@sakilacustomer.org,1,0.17
cassandra.walters@sakilacustomer.org,1,0.17
brenda.wright@sakilacustomer.org,1,0.17
ramona.hale@sakilacustomer.org,1,0.17
audrey.ray@sakilacustomer.org,1,0.17
ashley.richardson@sakilacustomer.org,1,0.17
marvin.yee@sakilacustomer.org,1,0.17
jenny.castro@sakilacustomer.org,1,0.17
rose.howard@sakilacustomer.org,1,0.17
natalie.meyer@sakilacustomer.org,1,0.17
loretta.carpenter@sakilacustomer.org,1,0.17
ruben.geary@sakilacustomer.org,1,0.17
marc.outlaw@sakilacustomer.org,1,0.17
samuel.marlow@sakilacustomer.org,1,0.17
rene.mcalister@sakilacustomer.org,1,0.17
oscar.aquino@sakilacustomer.org,1,0.17
violet.rodriquez@sakilacustomer.org,1,0.17
chester.benner@sakilacustomer.org,1,0.17
julian.vest@sakilacustomer.org,1,0.17
jamie.rice@sakilacustomer.org,1,0.17
angela.hernandez@sakilacustomer.org,1,0.17
adrian.clary@sakilacustomer.org,1,0.17
bill.gavin@sakilacustomer.org,1,0.17
hazel.warren@sakilacustomer.org,1,0.17
claude.herzog@sakilacustomer.org,1,0.17
marie.turner@sakilacustomer.org,1,0.17
terrance.roush@sakilacustomer.org,1,0.17
miguel.betancourt@sakilacustomer.org,1,0.17
sarah.lewis@sakilacustomer.org,1,0.17
lucille.holmes@sakilacustomer.org,1,0.17
marion.ocampo@sakilacustomer.org,1,0.17
jared.ely@sakilacustomer.org,1,0.17
fernando.churchill@sakilacustomer.org,1,0.17
bernard.colby@sakilacustomer.org,1,0.17
laura.rodriguez@sakilacustomer.org,1,0.17
philip.causey@sakilacustomer.org,1,0.17
clifford.bowens@sakilacustomer.org,1,0.17
marion.snyder@sakilacustomer.org,1,0.17
alicia.mills@sakilacustomer.org,1,0.17
gilbert.sledge@sakilacustomer.org,1,0.17
mike.way@sakilacustomer.org,1,0.17
gina.williamson@sakilacustomer.org,1,0.17
penny.neal@sakilacustomer.org,1,0.17
jimmie.eggleston@sakilacustomer.org,1,0.17
julio.noland@sakilacustomer.org,1,0.17
clayton.barbee@sakilacustomer.org,1,0.17
derek.blakely@sakilacustomer.org,1,0.17
hugh.waldrop@sakilacustomer.org,1,0.17
sam.mcduffie@sakilacustomer.org,1,0.17
steve.mackenzie@sakilacustomer.org,1,0.17
ethel.webb@sakilacustomer.org,1,0.17
don.bone@sakilacustomer.org,1,0.17
jon.wiles@sakilacustomer.org,1,0.17
howard.fortner@sakilacustomer.org,1,0.17
charlotte.hunter@sakilacustomer.org,1,0.17
timothy.bunn@sakilacustomer.org,1,0.17
dale.ratcliff@sakilacustomer.org,1,0.17
rick.mattox@sakilacustomer.org,1,0.17
eleanor.hunt@sakilacustomer.org,1,0.17
kim.cruz@sakilacustomer.org,1,0.17
dwayne.olvera@sakilacustomer.org,1,0.17
nellie.garrett@sakilacustomer.org,1,0.17
joel.francisco@sakilacustomer.org,1,0.17
dora.medina@sakilacustomer.org,1,0.17
kathryn.coleman@sakilacustomer.org,1,0.17
carlos.coughlin@sakilacustomer.org,1,0.17
david.royal@sakilacustomer.org,1,0.17
stephen.qualls@sakilacustomer.org,1,0.17
charlene.alvarez@sakilacustomer.org,1,0.17
jerome.kenyon@sakilacustomer.org,1,0.17
gail.knight@sakilacustomer.org,1,0.17
olga.jimenez@sakilacustomer.org,1,0.17
renee.lane@sakilacustomer.org,1,0.17
lloyd.dowd@sakilacustomer.org,1,0.17
roy.whiting@sakilacustomer.org,1,0.17
gary.coy@sakilacustomer.org,1,0.17
zachary.hite@sakilacustomer.org,1,0.17
jim.rea@sakilacustomer.org,1,0.17
cecil.vines@sakilacustomer.org,1,0.17
georgia.jacobs@sakilacustomer.org,1,0.17
elizabeth.brown@sakilacustomer.org,1,0.17
tyler.wren@sakilacustomer.org,1,0.17
max.pitt@sakilacustomer.org,1,0.17
kristin.johnston@sakilacustomer.org,1,0.17
arlene.harvey@sakilacustomer.org,1,0.17
emily.diaz@sakilacustomer.org,1,0.17
guy.brownlee@sakilacustomer.org,1,0.17
nora.herrera@sakilacustomer.org,1,0.17
paula.bryant@sakilacustomer.org,1,0.17
eva.ramos@sakilacustomer.org,1,0.17
fred.wheat@sakilacustomer.org,1,0.17
claudia.fuller@sakilacustomer.org,1,0.17
jeffery.pinson@sakilacustomer.org,1,0.17
rita.graham@sakilacustomer.org,1,0.17
nina.soto@sakilacustomer.org,1,0.17
jessica.hall@sakilacustomer.org,1,0.17
francisco.skidmore@sakilacustomer.org,1,0.17
vicki.fields@sakilacustomer.org,1,0.17
valerie.black@sakilacustomer.org,1,0.17
craig.morrell@sakilacustomer.org,1,0.17
lydia.burke@sakilacustomer.org,1,0.17
wade.delvalle@sakilacustomer.org,1,0.17
maurice.crawley@sakilacustomer.org,1,0.17
roland.south@sakilacustomer.org,1,0.17
alberto.henning@sakilacustomer.org,1,0.17
heather.morris@sakilacustomer.org,1,0.17
connie.wallace@sakilacustomer.org,1,0.17
veronica.stone@sakilacustomer.org,1,0.17
anna.hill@sakilacustomer.org,1,0.17
marsha.douglas@sakilacustomer.org,1,0.17
charlie.bess@sakilacustomer.org,1,0.17
julia.flores@sakilacustomer.org,1,0.17
ray.houle@sakilacustomer.org,1,0.17
nicholas.barfield@sakilacustomer.org,1,0.17
shirley.allen@sakilacustomer.org,1,0.17
joshua.mark@sakilacustomer.org,1,0.17
marcia.dean@sakilacustomer.org,1,0.17
june.carroll@sakilacustomer.org,1,0.17
keith.rico@sakilacustomer.org,1,0.17
tammy.sanders@sakilacustomer.org,1,0.17
leo.ebert@sakilacustomer.org,1,0.17
daniel.cabral@sakilacustomer.org,1,0.17
rebecca.scott@sakilacustomer.org,1,0.17
teresa.rogers@sakilacustomer.org,1,0.17
tim.cary@sakilacustomer.org,1,0.17
chris.brothers@sakilacustomer.org,1,0.17
todd.tan@sakilacustomer.org,1,0.17
andy.vanhorn@sakilacustomer.org,1,0.17
francis.sikes@sakilacustomer.org,1,0.17
gladys.hamilton@sakilacustomer.org,1,0.17
aaron.selby@sakilacustomer.org,1,0.17
holly.fox@sakilacustomer.org,1,0.17
scott.shelley@sakilacustomer.org,1,0.17
frederick.isbell@sakilacustomer.org,1,0.17
karen.jackson@sakilacustomer.org,1,0.17
clyde.tobias@sakilacustomer.org,1,0.17
christine.roberts@sakilacustomer.org,1,0.17
bryan.hardison@sakilacustomer.org,1,0.17
daisy.bates@sakilacustomer.org,1,0.17
ron.deluca@sakilacustomer.org,1,0.17
sue.peters@sakilacustomer.org,1,0.17
melissa.king@sakilacustomer.org,1,0.17
enrique.forsythe@sakilacustomer.org,1,0.17
everett.banda@sakilacustomer.org,1,0.17
margie.wade@sakilacustomer.org,1,0.17
kathy.james@sakilacustomer.org,1,0.17
amber.dixon@sakilacustomer.org,1,0.17
herbert.kruger@sakilacustomer.org,1,0.17
willard.lumpkin@sakilacustomer.org,1,0.17
gabriel.harder@sakilacustomer.org,1,0.17
javier.elrod@sakilacustomer.org,1,0.17
thomas.grigsby@sakilacustomer.org,1,0.17
yvonne.watkins@sakilacustomer.org,1,0.17
monica.hicks@sakilacustomer.org,1,0.17
alfredo.mcadams@sakilacustomer.org,1,0.17
roberto.vu@sakilacustomer.org,1,0.17
walter.perryman@sakilacustomer.org,1,0.17
colleen.burton@sakilacustomer.org,1,0.17
amanda.carter@sakilacustomer.org,1,0.17
ken.prewitt@sakilacustomer.org,1,0.17
jeanette.greene@sakilacustomer.org,1,0.17
stacy.cunningham@sakilacustomer.org,1,0.17
kathleen.adams@sakilacustomer.org,1,0.17
jeremy.hurtado@sakilacustomer.org,1,0.17
joan.cooper@sakilacustomer.org,1,0.17
clinton.buford@sakilacustomer.org,1,0.17
gloria.cook@sakilacustomer.org,1,0.17
martin.bales@sakilacustomer.org,1,0.17
victor.barkley@sakilacustomer.org,1,0.17
juanita.mason@sakilacustomer.org,1,0.17
manuel.murrell@sakilacustomer.org,1,0.17
ramon.choate@sakilacustomer.org,1,0.17
arnold.havens@sakilacustomer.org,1,0.17
allan.cornish@sakilacustomer.org,1,0.17
norma.gonzales@sakilacustomer.org,1,0.17
milton.howland@sakilacustomer.org,1,0.17
brent.harkins@sakilacustomer.org,1,0.17
joe.gilliland@sakilacustomer.org,1,0.17
emma.boyd@sakilacustomer.org,1,0.17
barbara.jones@sakilacustomer.org,1,0.17
alfred.casillas@sakilacustomer.org,1,0.17
ian.still@sakilacustomer.org,1,0.17
sara.perry@sakilacustomer.org,1,0.17
jorge.olivares@sakilacustomer.org,1,0.17
terry.grissom@sakilacustomer.org,1,0.17
dennis.gilman@sakilacustomer.org,1,0.17
hilda.hopkins@sakilacustomer.org,1,0.17
delores.hansen@sakilacustomer.org,1,0.17
erin.dunn@sakilacustomer.org,1,0.17
edith.mcdonald@sakilacustomer.org,1,0.17
jimmy.schrader@sakilacustomer.org,1,0.17
lori.wood@sakilacustomer.org,1,0.17
corey.hauser@sakilacustomer.org,1,0.17
myrtle.fleming@sakilacustomer.org,1,0.17
henry.billingsley@sakilacustomer.org,1,0.17
joyce.edwards@sakilacustomer.org,1,0.17
vickie.brewer@sakilacustomer.org,1,0.17
geraldine.perkins@sakilacustomer.org,1,0.17
bonnie.hughes@sakilacustomer.org,1,0.17
linda.williams@sakilacustomer.org,1,0.17
sonia.gregory@sakilacustomer.org,1,0.17
danny.isom@sakilacustomer.org,1,0.17
ellen.simpson@sakilacustomer.org,1,0.17
christina.ramirez@sakilacustomer.org,1,0.17
austin.cintron@sakilacustomer.org,1,0.17
kristina.chambers@sakilacustomer.org,1,0.17
mathew.bolin@sakilacustomer.org,1,0.17
sylvia.ortiz@sakilacustomer.org,1,0.17
eileen.carr@sakilacustomer.org,1,0.17
