address_phone,frequency,percentage
342720754566,1,0.17
575081026569,1,0.17
942570536750,1,0.17
47808359842,1,0.17
104491201771,1,0.17
963887147572,1,0.17
675120358494,1,0.17
408304391718,1,0.17
371490777743,1,0.17
697151428760,1,0.17
644021380889,1,0.17
488600270038,1,0.17
845378657301,1,0.17
39463554936,1,0.17
866092335135,1,0.17
892775750063,1,0.17
627924259271,1,0.17
892523334,1,0.17
247646995453,1,0.17
647899404952,1,0.17
960505250340,1,0.17
638409958875,1,0.17
135117278909,1,0.17
108053751300,1,0.17
914090181665,1,0.17
25865528181,1,0.17
648482415405,1,0.17
475553436330,1,0.17
876491807547,1,0.17
745267607502,1,0.17
411549550611,1,0.17
955349440539,1,0.17
368899174225,1,0.17
884536620568,1,0.17
275788967899,1,0.17
15273765306,1,0.17
959467760895,1,0.17
82619513349,1,0.17
448876499197,1,0.17
844018348565,1,0.17
617567598243,1,0.17
794553031307,1,0.17
18461860151,1,0.17
212869228936,1,0.17
497288595103,1,0.17
99883471275,1,0.17
427274926505,1,0.17
480039662421,1,0.17
105882218332,1,0.17
245477603573,1,0.17
368284120423,1,0.17
248446668735,1,0.17
206169448769,1,0.17
6172235589,1,0.17
864392582257,1,0.17
104150372603,1,0.17
331888642162,1,0.17
705814003527,1,0.17
959834530529,1,0.17
509492324775,1,0.17
320471479776,1,0.17
352469351088,1,0.17
412903167998,1,0.17
918711376618,1,0.17
132100972047,1,0.17
53912826864,1,0.17
517338314235,1,0.17
107092893983,1,0.17
940830176580,1,0.17
51917807050,1,0.17
230250973122,1,0.17
991562402283,1,0.17
170739645687,1,0.17
282874611748,1,0.17
265153400632,1,0.17
285710089439,1,0.17
976798660411,1,0.17
182178609211,1,0.17
158326114853,1,0.17
876295323994,1,0.17
973047364353,1,0.17
550306965159,1,0.17
322888976727,1,0.17
646237101779,1,0.17
464511145118,1,0.17
262088367001,1,0.17
270456873752,1,0.17
17305839123,1,0.17
759586584889,1,0.17
510737228015,1,0.17
812824036424,1,0.17
354615066969,1,0.17
236679267178,1,0.17
900235712074,1,0.17
279979529227,1,0.17
149981248346,1,0.17
468060467018,1,0.17
985109775584,1,0.17
465897838272,1,0.17
237368926031,1,0.17
182059202712,1,0.17
37247325001,1,0.17
711928348157,1,0.17
937222955822,1,0.17
546793516940,1,0.17
717566026669,1,0.17
431770603551,1,0.17
843801144113,1,0.17
441628280920,1,0.17
129673677866,1,0.17
874337098891,1,0.17
834626715837,1,0.17
331132568928,1,0.17
131912793873,1,0.17
978430786151,1,0.17
276555730211,1,0.17
898559280434,1,0.17
934352415130,1,0.17
170115379190,1,0.17
840522972766,1,0.17
875756771675,1,0.17
10655648674,1,0.17
237426099212,1,0.17
524567129902,1,0.17
640843562301,1,0.17
538241037443,1,0.17
697760867968,1,0.17
770864062795,1,0.17
995527378381,1,0.17
667648979883,1,0.17
662227486184,1,0.17
72524459905,1,0.17
918032330119,1,0.17
821972242086,1,0.17
23712411567,1,0.17
59634255214,1,0.17
737229003916,1,0.17
963063788669,1,0.17
613124286867,1,0.17
902731229323,1,0.17
380657522649,1,0.17
171973024401,1,0.17
577812616052,1,0.17
82088937724,1,0.17
568367775448,1,0.17
72136330362,1,0.17
784907335610,1,0.17
846225459260,1,0.17
663449333709,1,0.17
708403338270,1,0.17
886649065861,1,0.17
675292816413,1,0.17
719202533520,1,0.17
419419591240,1,0.17
967274728547,1,0.17
614935229095,1,0.17
95666951770,1,0.17
203202500108,1,0.17
383353187467,1,0.17
474047727727,1,0.17
139378397418,1,0.17
271149517630,1,0.17
488425406814,1,0.17
96110042435,1,0.17
776031833752,1,0.17
189446090264,1,0.17
709935135487,1,0.17
231383037471,1,0.17
199514580428,1,0.17
685010736240,1,0.17
510383179153,1,0.17
426255288071,1,0.17
889318963672,1,0.17
762361821578,1,0.17
972574862516,1,0.17
957128697225,1,0.17
622255216127,1,0.17
707169393853,1,0.17
206841104594,1,0.17
90921003005,1,0.17
380077794770,1,0.17
102396298916,1,0.17
38158430589,1,0.17
924815207181,1,0.17
288241215394,1,0.17
975185523021,1,0.17
817740355461,1,0.17
908029859266,1,0.17
460795526514,1,0.17
358178933857,1,0.17
325526730021,1,0.17
484500282381,1,0.17
48265851133,1,0.17
854259976812,1,0.17
949312333307,1,0.17
410877354933,1,0.17
935952366111,1,0.17
8912935608,1,0.17
64536069371,1,0.17
860452626434,1,0.17
657282285970,1,0.17
567359279425,1,0.17
921960450089,1,0.17
652218196731,1,0.17
653436985797,1,0.17
597815221267,1,0.17
569868543137,1,0.17
